sentence,compound,positive,negative,neutral,label,title
"In the population of Transylvania there are four distinct nationalities: Saxons in the South, and mixed with them the Wallachs, who are the descendants of the Dacians; Magyars in the West, and Szekelys in the East and North.",0.0,0.0,0.0,1.0,neutral,Dracula
"I am going among the latter, who claim to be descended from Attila and the Huns.",0.0,0.0,0.0,1.0,neutral,Dracula
"This may be so, for when the Magyars conquered the country in the eleventh century they found the Huns settled in it.",0.0,0.0,0.0,1.0,neutral,Dracula
"I read that every known superstition in the world is gathered into the horseshoe of the Carpathians, as if it were the centre of some sort of imaginative whirlpool; if so my stay may be very interesting.",0.4576,0.079,0.0,0.921,positive,Dracula
( Mem.,0.0,0.0,0.0,1.0,neutral,Dracula
", I must ask the Count all about them.)",0.0,0.0,0.0,1.0,neutral,Dracula
"I did not sleep well, though my bed was comfortable enough, for I had all sorts of queer dreams.",0.6353,0.275,0.083,0.642,positive,Dracula
"There was a dog howling all night under my window, which may have had something to do with it; or it may have been the paprika, for I had to drink up all the water in my carafe, and was still thirsty.",0.0,0.0,0.0,1.0,neutral,Dracula
"Towards morning I slept and was wakened by the continuous knocking at my door, so I guess I must have been sleeping soundly then.",0.0,0.0,0.0,1.0,neutral,Dracula
"I had for breakfast more paprika, and a sort of porridge of maize flour which they said was ""mamaliga,"" and egg-plant stuffed with forcemeat, a very excellent dish, which they call ""impletata.""",0.6115,0.125,0.0,0.875,positive,Dracula
( Mem.,0.0,0.0,0.0,1.0,neutral,Dracula
", get recipe for this also.)",0.0,0.0,0.0,1.0,neutral,Dracula
"I had to hurry breakfast, for the train started a little before eight, or rather it ought to have done so, for after rushing to the station at 7:30 I had to sit in the carriage for more than an hour before we began to move.",0.0,0.0,0.0,1.0,neutral,Dracula
It seems to me that the further east you go the more unpunctual are the trains.,0.0,0.0,0.0,1.0,neutral,Dracula
What ought they to be in China?,0.0,0.0,0.0,1.0,neutral,Dracula
All day long we seemed to dawdle through a country which was full of beauty of every kind.,0.802,0.324,0.0,0.676,positive,Dracula
Sometimes we saw little towns or castles on the top of steep hills such as we see in old missals; sometimes we ran by rivers and streams which seemed from the wide stony margin on each side of them to be subject to great floods.,0.7096,0.121,0.0,0.879,positive,Dracula
"It takes a lot of water, and running strong, to sweep the outside edge of a river clear.",0.7096,0.296,0.0,0.704,positive,Dracula
"At every station there were groups of people, sometimes crowds, and in all sorts of attire.",0.0,0.0,0.0,1.0,neutral,Dracula
"Some of them were just like the peasants at home or those I saw coming through France and Germany, with short jackets and round hats and home-made trousers; but others were very picturesque.",0.6798,0.157,0.0,0.843,positive,Dracula
"The women looked pretty, except when you got near them, but they were very clumsy about the waist.",0.2732,0.11,0.0,0.89,positive,Dracula
"They had all full white sleeves of some kind or other, and most of them had big belts with a lot of strips of something fluttering from them like the dresses in a ballet, but of course there were petticoats under them.",0.4497,0.094,0.0,0.906,positive,Dracula
"The strangest figures we saw were the Slovaks, who were more barbarian than the rest, with their big cow-boy hats, great baggy dirty-white trousers, white linen shirts, and enormous heavy leather belts, nearly a foot wide, all studded over with brass nails.",0.6249,0.093,0.0,0.907,positive,Dracula
"They wore high boots, with their trousers tucked into them, and had long black hair and heavy black moustaches.",0.0,0.0,0.0,1.0,neutral,Dracula
"They are very picturesque, but do not look prepossessing.",0.2374,0.196,0.0,0.804,positive,Dracula
On the stage they would be set down at once as some old Oriental band of brigands.,0.0,0.0,0.0,1.0,neutral,Dracula
"They are, however, I am told, very harmless and rather wanting in natural self-assertion.",0.5849,0.303,0.0,0.697,positive,Dracula
"It was on the dark side of twilight when we got to Bistritz, which is a very interesting old place.",0.4576,0.143,0.0,0.857,positive,Dracula
"Being practically on the frontier--for the Borgo Pass leads from it into Bukovina--it has had a very stormy existence, and it certainly shows marks of it.",0.34,0.091,0.0,0.909,positive,Dracula
"Fifty years ago a series of great fires took place, which made terrible havoc on five separate occasions.",-0.4404,0.163,0.279,0.558,negative,Dracula
"At the very beginning of the seventeenth century it underwent a siege of three weeks and lost 13,000 people, the casualties of war proper being assisted by famine and disease.",-0.7351,0.0,0.187,0.813,negative,Dracula
"Count Dracula had directed me to go to the Golden Krone Hotel, which I found, to my great delight, to be thoroughly old-fashioned, for of course I wanted to see all I could of the ways of the country.",0.8402,0.19,0.0,0.81,positive,Dracula
"I was evidently expected, for when I got near the door I faced a cheery-looking elderly woman in the usual peasant dress--white undergarment with long double apron, front, and back, of coloured stuff fitting almost too tight for modesty.",0.0,0.0,0.0,1.0,neutral,Dracula
"When I came close she bowed and said, ""The Herr Englishman?""",0.0,0.0,0.0,1.0,neutral,Dracula
"""Yes,"" I said, ""Jonathan Harker.""",0.0,0.0,0.0,1.0,neutral,Dracula
"She smiled, and gave some message to an elderly man in white shirt-sleeves, who had followed her to the door.",0.5423,0.156,0.0,0.844,positive,Dracula
"He went, but immediately returned with a letter:-- ""My Friend.--Welcome to the Carpathians.",0.0,0.0,0.0,1.0,neutral,Dracula
I am anxiously expecting you.,-0.2263,0.0,0.388,0.612,negative,Dracula
Sleep well to-night.,0.2732,0.512,0.0,0.488,positive,Dracula
At three to-morrow the diligence will start for Bukovina; a place on it is kept for you.,0.0,0.0,0.0,1.0,neutral,Dracula
At the Borgo Pass my carriage will await you and will bring you to me.,0.1027,0.091,0.0,0.909,positive,Dracula
"I trust that your journey from London has been a happy one, and that you will enjoy your stay in my beautiful land.",0.9337,0.453,0.0,0.547,positive,Dracula
"""Your friend, "" Dracula .""",0.4939,0.516,0.0,0.484,positive,Dracula
4 May.,0.0,0.0,0.0,1.0,neutral,Dracula
"--I found that my landlord had got a letter from the Count, directing him to secure the best place on the coach for me; but on making inquiries as to details he seemed somewhat reticent, and pretended that he could not understand my German.",0.5106,0.095,0.0,0.905,positive,Dracula
"This could not be true, because up to then he had understood it perfectly; at least, he answered my questions exactly as if he did.",0.4344,0.142,0.079,0.779,positive,Dracula
"He and his wife, the old lady who had received me, looked at each other in a frightened sort of way.",-0.4404,0.0,0.132,0.868,negative,Dracula
"He mumbled out that the money had been sent in a letter, and that was all he knew.",0.0,0.0,0.0,1.0,neutral,Dracula
