sentence,compound,positive,negative,neutral,label,title
"They could be seen at all hours of the day, on by-paths, in the villages, or again eating bread, sitting in the noon heat under the shadow of some solitary tree.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
And the country people began to call the beggar Old Judas.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"One day he brought home in his sack two little live pigs, which a farmer had given him after he had cured the farmer of some sickness.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"Soon he stopped begging, and devoted himself entirely to his pigs.",0.2023,0.199,0.14,0.662,positive,Original Short Stories — Volume 13
"He took them out to feed by the lake, or under isolated oaks, or in the near-by valleys.",-0.3182,0.0,0.119,0.881,negative,Original Short Stories — Volume 13
"The woman, however, went about all day begging, but she always came back to him in the evening.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"He also did not go to church, and no one ever had seen him cross himself before the wayside crucifixes.",-0.296,0.0,0.104,0.896,negative,Original Short Stories — Volume 13
All this gave rise to much gossip: One night his companion was attacked by a fever and began to tremble like a leaf in the wind.,-0.5106,0.085,0.232,0.683,negative,Original Short Stories — Volume 13
"He went to the nearest town to get some medicine, and then he shut himself up with her, and was not seen for six days.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"The priest, having heard that the ""Jewess"" was about to die, came to offer the consolation of his religion and administer the last sacrament.",-0.5994,0.0,0.145,0.855,negative,Original Short Stories — Volume 13
Was she a Jewess?,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
He did not know.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"But in any case, he wished to try to save her soul.",0.6486,0.281,0.0,0.719,positive,Original Short Stories — Volume 13
"Hardly had he knocked at the door when old Judas appeared on the threshold, breathing hard, his eyes aflame, his long beard agitated, like rippling water, and he hurled blasphemies in an unknown language, extending his skinny arms in order to prevent the priest from entering.",-0.2023,0.072,0.088,0.84,negative,Original Short Stories — Volume 13
"The priest attempted to speak, offered his purse and his aid, but the old man kept on abusing him, making gestures with his hands as if throwing; stones at him.",-0.6124,0.0,0.121,0.879,negative,Original Short Stories — Volume 13
"Then the priest retired, followed by the curses of the beggar.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
The companion of old Judas died the following day.,-0.5574,0.0,0.31,0.69,negative,Original Short Stories — Volume 13
"He buried her himself, in front of her door.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
They were people of so little account that no one took any interest in them.,0.2648,0.167,0.108,0.725,positive,Original Short Stories — Volume 13
Then they saw the man take his pigs out again to the lake and up the hillsides.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
And he also began begging again to get food.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"But the people gave him hardly anything, as there was so much gossip about him.",-0.3543,0.0,0.15,0.85,negative,Original Short Stories — Volume 13
"Every one knew, moreover, how he had treated the priest.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
Then he disappeared.,-0.2263,0.0,0.487,0.513,negative,Original Short Stories — Volume 13
"That was during Holy Week, but no one paid any attention to him.",-0.4215,0.0,0.189,0.811,negative,Original Short Stories — Volume 13
But on Easter Sunday the boys and girls who had gone walking out to the lake heard a great noise in the hut.,0.7684,0.212,0.0,0.788,positive,Original Short Stories — Volume 13
"The door was locked; but the boys broke it in, and the two pigs ran out, jumping like gnats.",-0.1154,0.136,0.154,0.71,negative,Original Short Stories — Volume 13
No one ever saw them again.,-0.296,0.0,0.306,0.694,negative,Original Short Stories — Volume 13
"The whole crowd went in; they saw some old rags on the floor, the beggar's hat, some bones, clots of dried blood and bits of flesh in the hollows of the skull.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
His pigs had devoured him.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"""This happened on Good Friday, monsieur.""",0.4404,0.367,0.0,0.633,positive,Original Short Stories — Volume 13
"Joseph concluded his story, ""three hours after noon.""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"""How do you know that?""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
I asked him.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"""There is no doubt about that,"" he replied.",-0.5719,0.0,0.439,0.561,negative,Original Short Stories — Volume 13
"I did not attempt to make him understand that it could easily happen that the famished animals had eaten their master, after he had died suddenly in his hut.",-0.296,0.075,0.113,0.812,negative,Original Short Stories — Volume 13
"As for the cross on the wall, it had appeared one morning, and no one knew what hand traced it in that strange color.",0.0516,0.113,0.142,0.745,positive,Original Short Stories — Volume 13
Since then no one doubted any longer that the Wandering Jew had died on this spot.,-0.7845,0.0,0.378,0.622,negative,Original Short Stories — Volume 13
I myself believed it for one hour.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"THE LITTLE CASK He was a tall man of forty or thereabout, this Jules Chicot, the innkeeper of Spreville, with a red face and a round stomach, and said by those who knew him to be a smart business man.",0.4019,0.072,0.0,0.928,positive,Original Short Stories — Volume 13
"He stopped his buggy in front of Mother Magloire's farmhouse, and, hitching the horse to the gatepost, went in at the gate.",-0.2263,0.0,0.083,0.917,negative,Original Short Stories — Volume 13
"Chicot owned some land adjoining that of the old woman, which he had been coveting for a long while, and had tried in vain to buy a score of times, but she had always obstinately refused to part with it.",-0.5719,0.0,0.115,0.885,negative,Original Short Stories — Volume 13
"""I was born here, and here I mean to die,"" was all she said.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
He found her peeling potatoes outside the farmhouse door.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"She was a woman of about seventy-two, very thin, shriveled and wrinkled, almost dried up in fact and much bent but as active and untiring as a girl.",0.5499,0.124,0.0,0.876,positive,Original Short Stories — Volume 13
Chicot patted her on the back in a friendly fashion and then sat down by her on a stool.,0.4939,0.167,0.0,0.833,positive,Original Short Stories — Volume 13
"""Well mother, you are always pretty well and hearty, I am glad to see.""",0.8555,0.536,0.0,0.464,positive,Original Short Stories — Volume 13
"""Nothing to complain of, considering, thank you.",0.5588,0.48,0.0,0.52,positive,Original Short Stories — Volume 13
"And how are you, Monsieur Chicot?""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"""Oh, pretty well, thank you, except a few rheumatic pains occasionally; otherwise I have nothing to complain of.""",0.7278,0.418,0.118,0.464,positive,Original Short Stories — Volume 13
"""So much the better.""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"And she said no more, while Chicot watched her going on with her work.",-0.296,0.0,0.145,0.855,negative,Original Short Stories — Volume 13
"Her crooked, knotted fingers, hard as a lobster's claws, seized the tubers, which were lying in a pail, as if they had been a pair of pincers, and she peeled them rapidly, cutting off long strips of skin with an old knife which she held in the other hand, throwing the potatoes into the water as they were done.",-0.2732,0.052,0.102,0.846,negative,Original Short Stories — Volume 13
"Three daring fowls jumped one after the other into her lap, seized a bit of peel and then ran away as fast as their legs would carry them with it in their beak.",0.3612,0.075,0.0,0.925,positive,Original Short Stories — Volume 13
"Chicot seemed embarrassed, anxious, with something on the tip of his tongue which he could not say.",-0.5423,0.0,0.231,0.769,negative,Original Short Stories — Volume 13
"At last he said hurriedly: ""Listen, Mother Magloire--"" ""Well, what is it?""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"""You are quite sure that you do not want to sell your land?""",0.3337,0.175,0.082,0.742,positive,Original Short Stories — Volume 13
"""Certainly not; you may make up your mind to that.",0.34,0.211,0.0,0.789,positive,Original Short Stories — Volume 13
"What I have said I have said, so don't refer to it again.""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"""Very well; only I think I know of an arrangement that might suit us both very well.""",0.3384,0.146,0.0,0.854,positive,Original Short Stories — Volume 13
"""What is it?""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"""Just this.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
You shall sell it to me and keep it all the same.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
You don't understand?,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"Very well, then follow me in what I am going to say.""",0.3384,0.193,0.0,0.807,positive,Original Short Stories — Volume 13
"The old woman left off peeling potatoes and looked at the innkeeper attentively from under her heavy eyebrows, and he went on: ""Let me explain myself.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
Every month I will give you a hundred and fifty francs.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
You understand me!,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
suppose!,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"Every month I will come and bring you thirty crowns, and it will not make the slightest difference in your life--not the very slightest.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"You will have your own home just as you have now, need not trouble yourself about me, and will owe me nothing; all you will have to do will be to take my money.",0.3089,0.064,0.0,0.936,positive,Original Short Stories — Volume 13
"Will that arrangement suit you?""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"He looked at her good-humoredly, one might almost have said benevolently, and the old woman returned his looks distrustfully, as if she suspected a trap, and said: ""It seems all right as far as I am concerned, but it will not give you the farm.""",-0.3468,0.034,0.11,0.856,negative,Original Short Stories — Volume 13
"""Never mind about that,"" he said; ""you may remain here as long as it pleases God Almighty to let you live; it will be your home.",0.5859,0.167,0.0,0.833,positive,Original Short Stories — Volume 13
Only you will sign a deed before a lawyer making it over to me; after your death.,-0.5994,0.0,0.218,0.782,negative,Original Short Stories — Volume 13
"You have no children, only nephews and nieces for whom you don't care a straw.",-0.5897,0.0,0.287,0.713,negative,Original Short Stories — Volume 13
Will that suit you?,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"You will keep everything during your life, and I will give you the thirty crowns a month.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"It is pure gain as far as you are concerned.""",0.5267,0.274,0.0,0.726,positive,Original Short Stories — Volume 13
"The old woman was surprised, rather uneasy, but, nevertheless, very much tempted to agree, and answered: ""I don't say that I will not agree to it, but I must think about it.",0.7311,0.222,0.05,0.727,positive,Original Short Stories — Volume 13
"Come back in a week, and we will talk it over again, and I will then give you my definite answer.""",0.2732,0.104,0.0,0.896,positive,Original Short Stories — Volume 13
And Chicot went off as happy as a king who had conquered an empire.,0.5719,0.236,0.0,0.764,positive,Original Short Stories — Volume 13
"Mother Magloire was thoughtful, and did not sleep at all that night; in fact, for four days she was in a fever of hesitation.",0.128,0.101,0.082,0.817,positive,Original Short Stories — Volume 13
"She suspected that there was something underneath the offer which was not to her advantage; but then the thought of thirty crowns a month, of all those coins clinking in her apron, falling to her, as it were, from the skies, without her doing anything for it, aroused her covetousness.",-0.4059,0.0,0.093,0.907,negative,Original Short Stories — Volume 13
She went to the notary and told him about it.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"He advised her to accept Chicot's offer, but said she ought to ask for an annuity of fifty instead of thirty, as her farm was worth sixty thousand francs at the lowest calculation.",-0.0644,0.111,0.091,0.799,negative,Original Short Stories — Volume 13
"""If you live for fifteen years longer,"" he said, ""even then he will only have paid forty-five thousand francs for it.""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"The old woman trembled with joy at this prospect of getting fifty crowns a month, but she was still suspicious, fearing some trick, and she remained a long time with the lawyer asking questions without being able to make up her mind to go.",-0.7992,0.078,0.218,0.704,negative,Original Short Stories — Volume 13
"At last she gave him instructions to draw up the deed and returned home with her head in a whirl, just as if she had drunk four jugs of new cider.",-0.34,0.0,0.076,0.924,negative,Original Short Stories — Volume 13
"When Chicot came again to receive her answer she declared, after a lot of persuading, that she could not make up her mind to agree to his proposal, though she was all the time trembling lest he should not consent to give the fifty crowns, but at last, when he grew urgent, she told him what she expected for her farm.",0.2185,0.063,0.049,0.888,positive,Original Short Stories — Volume 13
He looked surprised and disappointed and refused.,-0.5267,0.17,0.473,0.357,negative,Original Short Stories — Volume 13
"Then, in order to convince him, she began to talk about the probable duration of her life.",0.25,0.111,0.0,0.889,positive,Original Short Stories — Volume 13
"""I am certainly not likely to live more than five or six years longer.",0.34,0.156,0.0,0.844,positive,Original Short Stories — Volume 13
"I am nearly seventy-three, and far from strong, even considering my age.",0.5106,0.248,0.0,0.752,positive,Original Short Stories — Volume 13
"The other evening I thought I was going to die, and could hardly manage to crawl into bed.""",-0.5994,0.0,0.206,0.794,negative,Original Short Stories — Volume 13
But Chicot was not going to be taken in.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"""Come, come, old lady, you are as strong as the church tower, and will live till you are a hundred at least; you will no doubt see me put under ground first.""",-0.1027,0.092,0.131,0.778,negative,Original Short Stories — Volume 13
"The whole day was spent in discussing the money, and as the old woman would not give in, the innkeeper consented to give the fifty crowns, and she insisted upon having ten crowns over and above to strike the bargain.",0.0772,0.044,0.036,0.92,positive,Original Short Stories — Volume 13
Three years passed and the old dame did not seem to have grown a day older.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"Chicot was in despair, and it seemed to him as if he had been paying that annuity for fifty years, that he had been taken in, done, ruined.",-0.6597,0.0,0.172,0.828,negative,Original Short Stories — Volume 13
"From time to time he went to see the old lady, just as one goes in July to see when the harvest is likely to begin.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"She always met him with a cunning look, and one might have supposed that she was congratulating herself on the trick she had played him.",0.296,0.094,0.047,0.859,positive,Original Short Stories — Volume 13
"Seeing how well and hearty she seemed he very soon got into his buggy again, growling to himself: ""Will you never die, you old hag?""",0.6423,0.186,0.0,0.814,positive,Original Short Stories — Volume 13
"He did not know what to do, and he felt inclined to strangle her when he saw her.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"He hated her with a ferocious, cunning hatred, the hatred of a peasant who has been robbed, and began to cast about for some means of getting rid of her.",-0.9325,0.0,0.368,0.632,negative,Original Short Stories — Volume 13
"One day he came to see her again, rubbing his hands as he did the first time he proposed the bargain, and, after having chatted for a few minutes, he said: ""Why do you never come and have a bit of dinner at my place when you are in Spreville?",0.2023,0.037,0.0,0.963,positive,Original Short Stories — Volume 13
"The people are talking about it, and saying we are not on friendly terms, and that pains me.",-0.6628,0.0,0.253,0.747,negative,Original Short Stories — Volume 13
"You know it will cost you nothing if you come, for I don't look at the price of a dinner.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"Come whenever you feel inclined; I shall be very glad to see you.""",0.5095,0.23,0.0,0.77,positive,Original Short Stories — Volume 13
"Old Mother Magloire did not need to be asked twice, and the next day but one, as she had to go to the town in any case, it being market day, she let her man drive her to Chicot's place, where the buggy was put in the barn while she went into the house to get her dinner.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"The innkeeper was delighted and treated her like a lady, giving her roast fowl, black pudding, leg of mutton and bacon and cabbage.",0.802,0.301,0.0,0.699,positive,Original Short Stories — Volume 13
But she ate next to nothing.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"She had always been a small eater, and had generally lived on a little soup and a crust of bread and butter.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
