mean_vader_compound,pct_positive_vader,pct_negative_vader,pct_neutral_vader,title
-0.0402,22.8,27.8,49.3,1066 and all that
-0.0402,22.8,27.8,49.3,1066 and all that
-0.0035,7.5,11.7,80.8,Pour comprendre Einstein
-0.0035,7.5,11.7,80.8,Pour comprendre Einstein
0.0816,32.4,12.9,54.7,"Nazi conspiracy and aggression, Volume 04 (of 11)"
0.1049,36.2,20.3,43.5,Peter Pan
0.1049,36.2,20.3,43.5,Peter Pan
0.0088,16.7,16.1,67.2,The boy who couldn't fly
0.2518,56.8,20.7,22.6,"Frankenstein; or, the modern prometheus"
0.144,44.2,16.9,38.9,Democracy and Education: An Introduction to the Philosophy of Education
-0.034,24.1,30.2,45.7,White Fang
