title,author,num_tokens,num_types,ttr,mtld,hdd,num_sentences,mean_sent_len,median_sent_len,stdev_sent_len,zipf_alpha,zipf_r2
"Barry Locke, half-back",Ralph Henry Barbour,69333,6808,0.0982,96.63,0.8727,5416,15.89,13.0,17.76,0.9262,0.9914
"Barry Locke, half-back",Ralph Henry Barbour,69192,6808,0.0984,96.61,0.8725,5413,15.68,13.0,11.2,0.9271,0.9914
The marvellous land of Snergs,Edward Augustine Wyke-Smith,58889,6277,0.1066,93.87,0.8694,3365,20.52,16.0,15.51,0.9519,0.985
The marvellous land of Snergs,E. A. Wyke-Smith,58889,6275,0.1066,93.8,0.8694,3365,20.52,16.0,15.51,0.9519,0.985
1066 and all that,Walter Carruthers Sellar,24773,4333,0.1749,60.89,0.8636,1170,25.1,22.0,26.96,0.9379,0.993
1066 and all that,Walter Carruthers Sellar,24488,4333,0.1769,74.14,0.862,1169,24.56,22.0,19.65,0.9365,0.994
Pour comprendre Einstein,Théophile Moreux,54434,6615,0.1215,99.91,0.8871,1925,30.85,26.0,23.59,0.9732,0.9847
Pour comprendre Einstein,Théophile Moreux,54352,6615,0.1217,99.92,0.8871,1921,30.87,26.0,23.61,0.9742,0.9847
"Nazi conspiracy and aggression, Volume 04 (of 11)",United States. Office of Chief of Counsel for the Prosecution of Axis Criminality,388958,17566,0.0452,50.73,0.8329,19080,24.0,20.0,37.15,0.9444,0.9974
Peter Pan,J. M. Barrie,35137,4957,0.1411,69.92,0.8763,3423,12.62,8.0,17.9,0.9756,0.974
Peter Pan,J. M. Barrie,34881,4934,0.1415,83.96,0.8755,3421,12.41,8.0,12.63,0.9785,0.9749
The boy who couldn't fly,Charles Spain Verral,10220,1989,0.1946,75.82,0.8654,983,12.42,9.0,11.38,0.9198,0.9894
"Frankenstein; or, the modern prometheus",Mary Wollstonecraft Shelley,78189,7397,0.0946,86.5,0.8505,3450,25.82,23.0,15.96,1.0352,0.9918
Democracy and Education: An Introduction to the Philosophy of Education,John Dewey,139232,8788,0.0631,71.48,0.8379,5964,26.15,24.0,14.41,0.9613,0.9959
White Fang,Jack London,75885,7198,0.0949,68.9,0.8402,4921,17.76,15.0,11.83,0.9885,0.9947
