sentence,compound,positive,negative,neutral,label,title
"It was one of the laws of the veselija that no one goes hungry; and, while a rule made in the forests of Lithuania is hard to apply in the stockyards district of Chicago, with its quarter of a million inhabitants, still they did their best, and the children who ran in from the street, and even the dogs, went out again happier.",0.7184,0.111,0.053,0.836,positive,The Jungle
A charming informality was one of the characteristics of this celebration.,0.5859,0.297,0.0,0.703,positive,The Jungle
"The men wore their hats, or, if they wished, they took them off, and their coats with them; they ate when and where they pleased, and moved as often as they pleased.",0.7003,0.162,0.0,0.838,positive,The Jungle
"There were to be speeches and singing, but no one had to listen who did not care to; if he wished, meantime, to speak or sing himself, he was perfectly free.",0.7191,0.236,0.144,0.621,positive,The Jungle
"The resulting medley of sound distracted no one, save possibly alone the babies, of which there were present a number equal to the total possessed by all the guests invited.",-0.2732,0.128,0.188,0.684,negative,The Jungle
"There was no other place for the babies to be, and so part of the preparations for the evening consisted of a collection of cribs and carriages in one corner.",-0.296,0.0,0.073,0.927,negative,The Jungle
"In these the babies slept, three or four together, or wakened together, as the case might be.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Those who were still older, and could reach the tables, marched about munching contentedly at meat bones and bologna sausages.",0.4588,0.182,0.0,0.818,positive,The Jungle
"The room is about thirty feet square, with whitewashed walls, bare save for a calendar, a picture of a race horse, and a family tree in a gilded frame.",0.4939,0.122,0.0,0.878,positive,The Jungle
"To the right there is a door from the saloon, with a few loafers in the doorway, and in the corner beyond it a bar, with a presiding genius clad in soiled white, with waxed black mustaches and a carefully oiled curl plastered against one side of his forehead.",0.128,0.034,0.0,0.966,positive,The Jungle
"In the opposite corner are two tables, filling a third of the room and laden with dishes and cold viands, which a few of the hungrier guests are already munching.",0.0,0.0,0.0,1.0,neutral,The Jungle
"At the head, where sits the bride, is a snow-white cake, with an Eiffel tower of constructed decoration, with sugar roses and two angels upon it, and a generous sprinkling of pink and green and yellow candies.",0.5106,0.088,0.0,0.912,positive,The Jungle
"Beyond opens a door into the kitchen, where there is a glimpse to be had of a range with much steam ascending from it, and many women, old and young, rushing hither and thither.",0.0,0.0,0.0,1.0,neutral,The Jungle
"In the corner to the left are the three musicians, upon a little platform, toiling heroically to make some impression upon the hubbub; also the babies, similarly occupied, and an open window whence the populace imbibes the sights and sounds and odors.",0.617,0.114,0.0,0.886,positive,The Jungle
"Suddenly some of the steam begins to advance, and, peering through it, you discern Aunt Elizabeth, Ona's stepmother--Teta Elzbieta, as they call her--bearing aloft a great platter of stewed duck.",0.6249,0.128,0.0,0.872,positive,The Jungle
"Behind her is Kotrina, making her way cautiously, staggering beneath a similar burden; and half a minute later there appears old Grandmother Majauszkiene, with a big yellow bowl of smoking potatoes, nearly as big as herself.",-0.4404,0.0,0.083,0.917,negative,The Jungle
"So, bit by bit, the feast takes form--there is a ham and a dish of sauerkraut, boiled rice, macaroni, bologna sausages, great piles of penny buns, bowls of milk, and foaming pitchers of beer.",0.6249,0.117,0.0,0.883,positive,The Jungle
"There is also, not six feet from your back, the bar, where you may order all you please and do not have to pay for it. """,0.381,0.13,0.0,0.87,positive,The Jungle
Eiksz!,0.0,0.0,0.0,1.0,neutral,The Jungle
"Graicziau! """,0.0,0.0,0.0,1.0,neutral,The Jungle
"screams Marija Berczynskas, and falls to work herself--for there is more upon the stove inside that will be spoiled if it be not eaten.",-0.296,0.0,0.087,0.913,negative,The Jungle
"So, with laughter and shouts and endless badinage and merriment, the guests take their places.",0.7832,0.346,0.0,0.654,positive,The Jungle
"The young men, who for the most part have been huddled near the door, summon their resolution and advance; and the shrinking Jurgis is poked and scolded by the old folks until he consents to seat himself at the right hand of the bride.",0.6369,0.11,0.0,0.89,positive,The Jungle
"The two bridesmaids, whose insignia of office are paper wreaths, come next, and after them the rest of the guests, old and young, boys and girls.",0.0,0.0,0.0,1.0,neutral,The Jungle
"The spirit of the occasion takes hold of the stately bartender, who condescends to a plate of stewed duck; even the fat policeman--whose duty it will be, later in the evening, to break up the fights--draws up a chair to the foot of the table.",0.1779,0.039,0.0,0.961,positive,The Jungle
"And the children shout and the babies yell, and every one laughs and sings and chatters--while above all the deafening clamor Cousin Marija shouts orders to the musicians.",0.25,0.102,0.07,0.828,positive,The Jungle
The musicians--how shall one begin to describe them?,0.0,0.0,0.0,1.0,neutral,The Jungle
"All this time they have been there, playing in a mad frenzy--all of this scene must be read, or said, or sung, to music.",-0.34,0.069,0.123,0.808,negative,The Jungle
"It is the music which makes it what it is; it is the music which changes the place from the rear room of a saloon in back of the yards to a fairy place, a wonderland, a little corner of the high mansions of the sky.",0.0,0.0,0.0,1.0,neutral,The Jungle
The little person who leads this trio is an inspired man.,0.4939,0.242,0.0,0.758,positive,The Jungle
"His fiddle is out of tune, and there is no rosin on his bow, but still he is an inspired man--the hands of the muses have been laid upon him.",0.5719,0.127,0.047,0.826,positive,The Jungle
"He plays like one possessed by a demon, by a whole horde of demons.",0.5423,0.31,0.0,0.69,positive,The Jungle
"You can feel them in the air round about him, capering frenetically; with their invisible feet they set the pace, and the hair of the leader of the orchestra rises on end, and his eyeballs start from their sockets, as he toils to keep up with them.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Tamoszius Kuszleika is his name, and he has taught himself to play the violin by practicing all night, after working all day on the ""killing beds.""",-0.4588,0.078,0.143,0.779,negative,The Jungle
"He is in his shirt sleeves, with a vest figured with faded gold horseshoes, and a pink-striped shirt, suggestive of peppermint candy.",0.0,0.0,0.0,1.0,neutral,The Jungle
"A pair of military trousers, light blue with a yellow stripe, serve to give that suggestion of authority proper to the leader of a band.",0.0772,0.058,0.0,0.942,positive,The Jungle
