title,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
"The Jimmyjohn Boss, and Other Stories",2.6792666e-06,0.005868409,0.0010307913,0.0002680647,0.10432329,0.008257612,0.6137489,0.00476514,1.3439861e-05,1.1942949e-05,0.22196907,3.1278137e-06,2.6520806e-06,0.02879885,0.0015842288,2.4765077e-06,0.0081241075,0.0012187153,2.2835159e-06,4.1713097e-06
The Jungle,1.426138e-06,1.4504102e-06,2.273268e-06,2.6005894e-06,3.234318e-06,1.7487946e-06,2.462552e-06,4.052431e-06,7.153846e-06,6.357056e-06,0.99995095,1.6648936e-06,1.4116672e-06,2.6717505e-06,2.0380212e-06,1.3182121e-06,1.6753881e-06,2.07096e-06,1.2154852e-06,2.2203328e-06
The Natural History of Selborne,1.7446173e-06,1.7743098e-06,0.006229125,3.1813422e-06,0.028319785,2.1393282e-06,0.0028300658,0.66722924,0.10889974,0.10721966,0.055718116,0.005776407,0.011154079,0.004471859,0.002132711,1.6125898e-06,2.049529e-06,2.5334382e-06,1.4869223e-06,2.7161684e-06
Heidi,3.4579105e-06,3.5167623e-06,5.5119185e-06,6.3055645e-06,7.842145e-06,0.0030395172,5.9708696e-06,9.825798e-06,1.7345563e-05,0.99685335,7.920168e-06,4.0368136e-06,3.4228235e-06,6.4781066e-06,4.941524e-06,3.1962259e-06,4.062259e-06,5.0213894e-06,2.9471473e-06,5.3835684e-06
Pollyanna,3.6926588e-06,3.755506e-06,0.0069146575,0.0406441,0.942037,4.528104e-06,0.010296187,1.0492845e-05,1.8522958e-05,1.6460173e-05,8.457847e-06,4.310862e-06,3.6551899e-06,6.9178877e-06,5.2769906e-06,3.4132092e-06,4.338035e-06,5.362278e-06,3.1472214e-06,5.7490447e-06
The silent places,2.9391877e-06,2.989211e-06,4.6850732e-06,5.3596636e-06,6.6657412e-06,3.604164e-06,0.98592985,0.003784485,1.4743677e-05,1.3101553e-05,6.73206e-06,3.431249e-06,2.9093642e-06,0.002110056,4.2002434e-06,0.008089422,3.4528775e-06,4.268128e-06,2.5050444e-06,4.5759766e-06
The Moonstone,1.3602576e-06,1.3834084e-06,2.1682542e-06,2.4804551e-06,3.0849085e-06,1.668009e-06,2.3487942e-06,3.865229e-06,0.019831827,0.0003164894,3.1156007e-06,1.5879838e-06,1.3464552e-06,2.548329e-06,1.9438748e-06,1.2573172e-06,1.5979934e-06,0.9798166,1.1593359e-06,2.1177643e-06
Daddy-Long-Legs,4.972809e-06,5.0574436e-06,7.926671e-06,0.014057636,1.12777625e-05,6.097882e-06,0.80125827,1.4130445e-05,0.04445893,0.013544732,0.10448047,5.8053274e-06,0.0021414335,9.3161425e-06,0.010997158,4.596481e-06,5.8419205e-06,7.2212424e-06,4.2382826e-06,0.008974887
Doña Perfecta,6.487783e-07,0.9999769,1.0341545e-06,1.1830595e-06,1.4713551e-06,7.9556116e-07,1.1202635e-06,1.8435309e-06,3.254401e-06,2.8919405e-06,1.4859938e-06,7.57393e-07,6.421953e-07,1.2154321e-06,9.271361e-07,5.9968073e-07,7.6216713e-07,9.421206e-07,5.529482e-07,1.0100732e-06
The island of Doctor Moreau,4.273075e-06,4.3458003e-06,6.811293e-06,7.792032e-06,9.690845e-06,5.2398364e-06,7.3784363e-06,0.030886294,0.008794246,0.919448,9.787261e-06,4.988448e-06,4.2297165e-06,0.039519552,6.106434e-06,3.9497013e-06,0.0012607928,6.2051267e-06,3.641905e-06,6.6526854e-06
Peter Pan,4.523028e-06,4.6000077e-06,7.209719e-06,8.247826e-06,1.02577105e-05,5.54634e-06,7.8100375e-06,1.2852374e-05,2.2688298e-05,0.9998542,1.0359766e-05,5.2802466e-06,4.4771336e-06,8.473516e-06,6.4636292e-06,4.1807384e-06,5.3135304e-06,6.568095e-06,3.854938e-06,7.041834e-06
"The Awakening, and Selected Short Stories",2.9788412e-06,3.0295394e-06,4.748281e-06,0.23895834,0.041228727,3.6527888e-06,0.020999756,8.464502e-06,0.26124412,0.3492636,0.062206004,3.4775412e-06,2.9486152e-06,5.58061e-06,0.024983998,2.753411e-06,3.4994614e-06,0.0010671649,2.5388408e-06,4.6377127e-06
The Adventures of Sherlock Holmes,2.189368e-06,2.2266297e-06,3.4898583e-06,3.9923534e-06,4.965236e-06,2.6847013e-06,3.780442e-06,0.017368725,0.016744174,0.9600739,5.014637e-06,2.5558988e-06,2.1671526e-06,0.0027566592,3.1287143e-06,2.023683e-06,2.5720099e-06,0.0030104716,1.8659795e-06,3.4085938e-06
The Man Who Was Thursday: A Nightmare,3.1234094e-06,3.1765683e-06,4.978723e-06,5.6955955e-06,7.0835354e-06,3.830065e-06,5.3932777e-06,8.875299e-06,0.14857022,0.144658,0.69501704,3.6463123e-06,3.0917167e-06,0.0040921653,4.4635053e-06,2.887039e-06,3.6692963e-06,4.535645e-06,2.662055e-06,0.00759542
The Secret Garden,2.880197e-06,2.9292164e-06,0.99934185,5.252093e-06,6.5319573e-06,3.531827e-06,4.9733158e-06,8.184201e-06,1.444734e-05,1.2838569e-05,6.596945e-06,3.3623826e-06,0.0005599805,5.3958083e-06,4.115943e-06,2.6622322e-06,3.383577e-06,4.182465e-06,2.4547671e-06,4.484135e-06
The Picture of Dorian Gray,2.6012187e-06,2.6454902e-06,4.14635e-06,0.006250091,0.002628719,3.1897314e-06,0.013442524,7.3914725e-06,0.523773,0.41330096,0.012306369,0.021992385,2.5748247e-06,4.8731663e-06,0.0062630638,2.4043663e-06,3.055841e-06,3.7773484e-06,2.2169966e-06,4.0497985e-06
The Phantom of the Opera,2.6813848e-06,2.7270205e-06,4.2741344e-06,0.09134401,6.081074e-06,3.2880346e-06,4.630021e-06,7.6192673e-06,0.6719819,0.22909753,0.002972522,3.1302864e-06,0.0045448015,5.0233502e-06,3.8318303e-06,2.4784654e-06,3.1500178e-06,3.893761e-06,2.2853212e-06,4.1746075e-06
Nouveaux souvenirs entomologiques - Livre II / Étude sur l'instinct et les moeurs des insectes,3.7295393e-07,3.793014e-07,5.9448956e-07,6.800885e-07,8.458169e-07,4.5733287e-07,6.4398984e-07,1.0597643e-06,1.8707482e-06,1.6624364e-06,8.5423204e-07,4.3539168e-07,3.691696e-07,6.9869805e-07,0.9999869,3.4472987e-07,4.381361e-07,5.415834e-07,3.1786544e-07,5.806463e-07
The Red House Mystery,4.9634327e-06,5.047908e-06,7.911725e-06,9.050913e-06,0.7700373,6.0863845e-06,0.0049417387,1.4103803e-05,2.4897885e-05,0.1673067,1.1368491e-05,5.7943817e-06,4.91307e-06,9.298577e-06,7.092989e-06,4.587815e-06,5.830906e-06,0.057581384,4.2302913e-06,7.7274935e-06
The Railway Children,4.200772e-06,4.272267e-06,0.011860928,7.660186e-06,9.526871e-06,5.151175e-06,7.253589e-06,1.193667e-05,2.1071522e-05,0.9478591,0.018200148,4.9040405e-06,0.0024446961,7.869796e-06,6.0031093e-06,3.88287e-06,0.019525183,6.1001324e-06,3.5802818e-06,6.540118e-06
A Journey to the Centre of the Earth,0.0014739592,2.176463e-06,3.4112309e-06,3.9024044e-06,4.8533675e-06,2.6242142e-06,3.6952674e-06,0.54116255,0.15557297,0.26745123,4.9016544e-06,2.4983137e-06,2.1183262e-06,4.0091877e-06,3.0582232e-06,1.9780887e-06,2.5140616e-06,0.03210033,1.8239383e-06,0.0021954023
Scaramouche: A Romance of the French Revolution,1.2932331e-06,1.3152434e-06,2.0614173e-06,0.9990895,2.932905e-06,1.5858207e-06,2.2330614e-06,3.6747763e-06,6.4871783e-06,5.7646266e-06,2.9620849e-06,1.5097387e-06,1.280111e-06,2.4227643e-06,0.0008672455,1.1953651e-06,1.5192552e-06,1.8779629e-06,1.1022115e-06,2.0134153e-06
The Yellow Wallpaper,4.814325e-05,4.8962625e-05,0.0136530865,8.779012e-05,0.00010918339,5.903542e-05,8.313028e-05,0.019124044,0.113460936,0.8067481,0.04602778,5.6203113e-05,4.765475e-05,9.019236e-05,6.879907e-05,4.4499913e-05,5.6557383e-05,6.991101e-05,4.103208e-05,7.49535e-05
Thus Spake Zarathustra: A Book for All and None,1.1205653e-06,1.1396368e-06,1.7861843e-06,2.043372e-06,0.9362279,1.3740877e-06,1.934911e-06,3.1841334e-06,0.06373912,4.9949513e-06,2.5665981e-06,1.3081639e-06,1.1091952e-06,2.0992857e-06,1.6013429e-06,1.0357643e-06,1.3164097e-06,1.627224e-06,9.550482e-07,1.7445913e-06
Flatland: A Romance of Many Dimensions,5.069623e-06,5.1559055e-06,8.080993e-06,9.2445525e-06,1.1497325e-05,6.2165996e-06,8.753858e-06,0.09082958,0.8171559,0.0055710534,1.1611714e-05,5.9183494e-06,5.0181825e-06,9.497516e-06,7.24474e-06,4.685969e-06,5.955655e-06,7.3618307e-06,4.320796e-06,0.08632783
The Turn of the Screw,6.878007e-06,6.995067e-06,1.0963562e-05,1.2542175e-05,1.5598533e-05,8.434121e-06,0.00920651,1.9544146e-05,0.4554482,0.2445588,0.29062703,8.029482e-06,6.8082168e-06,1.2885372e-05,9.829009e-06,6.3575e-06,8.0800955e-06,9.987867e-06,5.8620662e-06,1.0708265e-05
The call of the wild,4.7431763e-06,4.8239026e-06,7.560636e-06,8.649271e-06,1.0756981e-05,5.816296e-06,8.1901735e-06,1.3477935e-05,2.3792038e-05,2.1142709e-05,1.0864004e-05,5.537251e-06,4.695048e-06,8.885945e-06,6.778232e-06,0.99983037,5.5721544e-06,6.8877825e-06,4.0425684e-06,7.3845795e-06
Kim,1.5390984e-06,1.5652931e-06,2.4533272e-06,2.8065747e-06,0.9859783,1.8873117e-06,2.6576038e-06,4.3734126e-06,7.720511e-06,0.012059714,3.5252267e-06,1.7967652e-06,1.5234815e-06,0.0017675946,2.1994472e-06,1.422624e-06,1.8080909e-06,2.234995e-06,1.3117603e-06,0.000153556
Faust: Der Tragödie erster Teil,1.802364e-06,1.8330393e-06,2.872973e-06,3.2866444e-06,4.087555e-06,0.9999361,3.1121917e-06,5.121493e-06,9.040612e-06,8.033997e-06,4.1282233e-06,2.104105e-06,1.7840757e-06,3.3765784e-06,2.5756665e-06,1.6659664e-06,2.117368e-06,2.6172947e-06,1.5361393e-06,2.806073e-06
"The Descent of Man, and Selection in Relation to Sex",8.656334e-07,8.8036603e-07,1.379822e-06,1.5784988e-06,1.9631575e-06,0.0010799038,1.4947132e-06,0.9740321,4.342239e-06,3.8585836e-06,1.9826894e-06,1.0105526e-06,8.5684997e-07,1.6216919e-06,0.01976445,8.0012484e-07,1.0169226e-06,1.2570257e-06,7.377719e-07,0.005097903
Up from Slavery: An Autobiography,2.8411696e-06,2.889525e-06,4.528832e-06,0.9359077,6.4434475e-06,3.4839697e-06,4.905926e-06,0.010916096,0.051306177,1.2664583e-05,6.5075546e-06,0.0017966456,2.8123407e-06,5.322694e-06,4.060171e-06,2.6261582e-06,3.3377287e-06,4.1257917e-06,2.4215044e-06,4.423374e-06
O Pioneers!,3.7178045e-06,3.7810796e-06,5.9261906e-06,6.7794863e-06,8.431555e-06,4.558939e-06,6.419636e-06,1.0564298e-05,1.8649078e-05,1.6572223e-05,0.99987215,4.3402174e-06,3.6800807e-06,6.9649964e-06,5.312925e-06,3.436452e-06,4.3675755e-06,5.3987933e-06,3.168653e-06,5.788194e-06
My Ántonia,2.3586374e-06,2.3987802e-06,3.7596744e-06,4.301019e-06,5.34912e-06,2.892267e-06,4.072724e-06,6.702167e-06,1.1831348e-05,0.0002034809,0.99972594,2.7535066e-06,2.3347047e-06,4.41871e-06,3.3706085e-06,2.1801427e-06,2.770863e-06,3.4250847e-06,2.0102464e-06,3.6721267e-06
Siddhartha,0.007505292,7.0932674e-06,1.1117474e-05,1.27182475e-05,0.73016137,8.5525235e-06,1.2043172e-05,1.9818515e-05,0.2621353,3.1089436e-05,1.5974883e-05,8.142204e-06,6.903794e-06,1.3066263e-05,9.966994e-06,6.4467495e-06,8.193528e-06,1.0128082e-05,5.944361e-06,1.0858593e-05
